epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2777,1.55966,3.29058,0.9707,0.97082,0.90473,0.94706,0.5459,1.39448,1.10699,0.87758,0.000664179,0.000664179,0.000664179
2,69.8324,1.47164,1.28865,0.93936,0.97881,0.93053,0.96228,0.55105,1.42346,0.8419,0.88426,0.00119909,0.00119909,0.00119909
3,94.0581,1.41268,0.89393,0.92662,0.99154,0.94469,0.97059,0.58457,1.31962,0.74182,0.85401,0.001602,0.001602,0.001602
4,118.114,1.38275,0.79397,0.9137,0.98123,0.94461,0.97207,0.59136,1.3138,0.7207,0.85583,0.001406,0.001406,0.001406
5,141.113,1.37765,0.73487,0.91653,0.99161,0.95179,0.98092,0.61302,1.2587,0.68519,0.84075,0.001208,0.001208,0.001208
6,164.124,1.29805,0.67133,0.8964,0.97952,0.9631,0.98428,0.63739,1.21777,0.6193,0.83366,0.00101,0.00101,0.00101
7,187.087,1.28202,0.64699,0.89292,0.98838,0.9718,0.98829,0.63058,1.18787,0.6227,0.82296,0.000812,0.000812,0.000812
8,210.086,1.24563,0.61276,0.88337,0.99381,0.97032,0.98811,0.65677,1.17279,0.56778,0.82084,0.000614,0.000614,0.000614
9,233.234,1.23131,0.57498,0.88137,0.99169,0.96187,0.99245,0.66199,1.16566,0.57633,0.82071,0.000416,0.000416,0.000416
10,256.175,1.20987,0.54936,0.87236,0.98384,0.98103,0.99372,0.66406,1.14562,0.52458,0.81493,0.000218,0.000218,0.000218
