epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5485,1.61292,3.25026,0.94857,0.97496,0.90202,0.94803,0.54749,1.41242,1.10533,0.86801,0.0033209,0.0033209,0.0033209
2,68.9141,1.51684,1.31936,0.91742,0.95151,0.92873,0.96325,0.57348,1.38563,0.799,0.8658,0.00662129,0.00662129,0.00662129
3,98.7391,1.53711,1.02495,0.92254,0.98117,0.89219,0.94974,0.54495,1.41019,0.84887,0.87246,0.00988869,0.00988869,0.00988869
4,128.086,1.49595,0.90644,0.91968,0.98059,0.91584,0.96339,0.60538,1.29279,0.74597,0.85212,0.0098515,0.0098515,0.0098515
5,158.356,1.45229,0.85906,0.90526,0.96542,0.9285,0.96138,0.52107,1.36717,1.02631,0.85777,0.009802,0.009802,0.009802
6,187.718,1.42155,0.79692,0.90107,0.99295,0.92044,0.97158,0.56806,1.41457,0.74262,0.86515,0.0097525,0.0097525,0.0097525
7,217.355,1.3751,0.75576,0.89581,0.98843,0.91944,0.97371,0.61319,1.28685,0.74386,0.84347,0.009703,0.009703,0.009703
8,247.23,1.36549,0.73972,0.89197,0.97497,0.94155,0.96997,0.57528,1.35548,0.68844,0.85956,0.0096535,0.0096535,0.0096535
9,276.78,1.35386,0.7344,0.88878,0.99157,0.94726,0.97906,0.61165,1.23437,0.64657,0.84026,0.009604,0.009604,0.009604
10,306.112,1.34953,0.71181,0.88743,0.98508,0.95871,0.98304,0.60637,1.25995,0.68431,0.84031,0.0095545,0.0095545,0.0095545
11,335.849,1.33067,0.70212,0.88324,0.98089,0.96375,0.98825,0.59838,1.25568,0.65559,0.83739,0.009505,0.009505,0.009505
12,364.807,1.31671,0.68414,0.87805,0.98152,0.96262,0.98914,0.64413,1.19971,0.63477,0.82601,0.0094555,0.0094555,0.0094555
13,393.86,1.31502,0.67206,0.88137,0.99094,0.96475,0.98405,0.61653,1.25821,0.62458,0.83566,0.009406,0.009406,0.009406
14,422.865,1.30684,0.66916,0.8752,0.9948,0.9637,0.98719,0.63781,1.22166,0.60369,0.83201,0.0093565,0.0093565,0.0093565
15,451.857,1.28776,0.65784,0.87675,0.98777,0.9758,0.99238,0.62709,1.23629,0.60323,0.83262,0.009307,0.009307,0.009307
16,482.409,1.27412,0.65105,0.87275,0.98861,0.96168,0.98448,0.61629,1.25586,0.63605,0.83187,0.0092575,0.0092575,0.0092575
17,512.977,1.28264,0.64118,0.87359,0.98943,0.96576,0.99256,0.62289,1.26126,0.62414,0.83231,0.009208,0.009208,0.009208
18,543.111,1.27441,0.6385,0.87295,0.98541,0.9708,0.99293,0.64028,1.21619,0.59431,0.8258,0.0091585,0.0091585,0.0091585
19,572.663,1.2745,0.63797,0.873,0.98405,0.9708,0.99077,0.61583,1.23823,0.62674,0.83574,0.009109,0.009109,0.009109
20,602.236,1.26497,0.62999,0.86789,0.99451,0.97784,0.99317,0.64084,1.21344,0.55804,0.82683,0.0090595,0.0090595,0.0090595
21,631.929,1.25986,0.61373,0.86917,0.98407,0.98087,0.98948,0.61654,1.22387,0.58695,0.83056,0.00901,0.00901,0.00901
22,661.435,1.25342,0.62212,0.86786,0.98473,0.97391,0.99004,0.64708,1.20579,0.57788,0.82726,0.0089605,0.0089605,0.0089605
23,691.854,1.26053,0.6189,0.86748,0.9888,0.97775,0.99228,0.66471,1.17332,0.5552,0.81995,0.008911,0.008911,0.008911
24,722.13,1.26471,0.61988,0.87091,0.98875,0.97319,0.9912,0.6465,1.19767,0.56924,0.82684,0.0088615,0.0088615,0.0088615
25,752.584,1.24297,0.60646,0.86795,0.99282,0.97474,0.99307,0.64692,1.20804,0.56676,0.82612,0.008812,0.008812,0.008812
26,782.917,1.24322,0.60944,0.86407,0.99266,0.98087,0.99415,0.63332,1.22088,0.574,0.82706,0.0087625,0.0087625,0.0087625
27,813.383,1.25226,0.61192,0.86758,0.98615,0.98187,0.99257,0.66669,1.18821,0.55915,0.82567,0.008713,0.008713,0.008713
