epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.467,1.55227,3.53461,0.96714,0.95975,0.86808,0.9219,0.50527,1.49815,1.3076,0.89527,0.000664179,0.000664179,0.000664179
2,67.815,1.48966,1.37629,0.9427,0.9008,0.87787,0.89493,0.52139,1.34388,1.21212,0.8672,0.00119909,0.00119909,0.00119909
3,91.5918,1.42494,0.95066,0.92704,0.97885,0.90836,0.95679,0.56837,1.33933,0.84451,0.86556,0.001602,0.001602,0.001602
4,115.132,1.39037,0.80588,0.91574,0.98702,0.91863,0.96286,0.58395,1.34883,0.74136,0.86207,0.001406,0.001406,0.001406
5,138.639,1.36496,0.75208,0.91231,0.98844,0.93555,0.97806,0.58841,1.355,0.68684,0.857,0.001208,0.001208,0.001208
6,162.133,1.2986,0.67371,0.89744,0.9881,0.95972,0.98475,0.61878,1.2623,0.6828,0.83716,0.00101,0.00101,0.00101
7,185.646,1.28319,0.63619,0.89275,0.99053,0.95368,0.98386,0.65431,1.19064,0.62497,0.82613,0.000812,0.000812,0.000812
8,209.268,1.25271,0.61934,0.88432,0.99225,0.96979,0.99256,0.64867,1.1712,0.58553,0.82053,0.000614,0.000614,0.000614
9,232.776,1.22922,0.57383,0.88191,0.99063,0.96677,0.98869,0.63136,1.23773,0.58627,0.83155,0.000416,0.000416,0.000416
10,256.362,1.20727,0.5471,0.872,0.99279,0.97071,0.9923,0.6513,1.16576,0.55824,0.81719,0.000218,0.000218,0.000218
